ad_id,ad_name,account,publisher_platform,platform_position,spend,impressions,clicks,link_clicks,landing_page_views
6286193506283,video_ 2,ACC1,facebook,video_feeds,2.569849,398,1,,
6286193506283,video_ 2,ACC1,instagram,feed,3.23981,191,0,,
6286193506283,video_ 2,ACC1,instagram,instagram_explore,0.329981,131,0,,
6286193506283,video_ 2,ACC1,instagram,instagram_reels,0.659961,171,0,,
6286193506283,video_ 2,ACC1,instagram,instagram_stories,70.795841,2877,5,5,10
6286193506683,video_ 1,ACC1,facebook,facebook_reels,0.839857,186,2,,
6286193506683,video_ 1,ACC1,facebook,feed,1.949667,591,1,1,1
6286193506683,video_ 1,ACC1,facebook,instream_video,138.286384,6596,43,43,32
6286193506683,video_ 1,ACC1,facebook,marketplace,80.726214,20260,8,8,2
6286193506683,video_ 1,ACC1,facebook,search,82.85585,33551,41,41,26
6286193506683,video_ 1,ACC1,facebook,video_feeds,3.149462,311,1,,
6286193506683,video_ 1,ACC1,instagram,feed,1.969664,87,0,,
6286193506683,video_ 1,ACC1,instagram,instagram_explore,0.239959,75,0,,
6286193506683,video_ 1,ACC1,instagram,instagram_reels,0.479918,102,0,,
6286193506683,video_ 1,ACC1,instagram,instagram_stories,40.843025,1490,4,3,3
6286193662483,video_ 2,ACC1,audience_network,an_classic,36.306397,4424,2,2,2
6286193662483,video_ 2,ACC1,facebook,facebook_reels,1.869814,378,1,,
6286193662483,video_ 2,ACC1,facebook,facebook_stories,0.989902,32,0,,
6286193662483,video_ 2,ACC1,facebook,feed,6.439361,1446,4,1,1
6286193662483,video_ 2,ACC1,facebook,instream_video,674.143105,34231,230,228,206
6286193662483,video_ 2,ACC1,facebook,marketplace,705.040039,190246,49,48,22
6286193662483,video_ 2,ACC1,facebook,search,162.95383,72287,53,51,31
6286193662483,video_ 2,ACC1,facebook,video_feeds,8.199186,988,1,,
6286193662483,video_ 2,ACC1,instagram,feed,5.829422,239,0,,
6286193662483,video_ 2,ACC1,instagram,instagram_explore,0.559944,156,0,,
6286193662483,video_ 2,ACC1,instagram,instagram_reels,0.739927,158,0,,
6286193662483,video_ 2,ACC1,instagram,instagram_stories,110.129072,4142,3,3,2
6286193662483,video_ 2,ACC1,messenger,messenger_stories,0,1,0,,
6286193865683,video_ 2,ACC1,facebook,facebook_reels,1.529545,221,1,,
6286193865683,video_ 2,ACC1,facebook,feed,29.841116,7829,8,3,
6286193865683,video_ 2,ACC1,facebook,instream_video,352.325108,17470,116,115,76
6286193865683,video_ 2,ACC1,facebook,marketplace,1021.885771,273100,156,145,80
6286193865683,video_ 2,ACC1,facebook,search,240.588374,83924,130,138,109
6286193865683,video_ 2,ACC1,facebook,video_feeds,19.334244,1227,3,2,2
6286193865683,video_ 2,ACC1,instagram,feed,4.848557,199,0,,
6286193865683,video_ 2,ACC1,instagram,instagram_explore,1.729485,487,0,,
6286193865683,video_ 2,ACC1,instagram,instagram_reels,0.309908,32,0,,
6286193865683,video_ 2,ACC1,instagram,instagram_stories,40.667893,1480,1,1,1
6516361446283,"Jun 28, 2023",ACC1,instagram,feed,626.053082,125608,146,77,2
6516361446283,"Jun 28, 2023",ACC1,instagram,instagram_explore,230.596918,96616,113,49,1
6516362244683,"jul 19, 2023",ACC1,instagram,feed,673.854265,138155,130,57,
6516362244683,"jul 19, 2023",ACC1,instagram,instagram_explore,182.675735,76260,73,31,
6516362899483,"Jul 21, 2023",ACC1,instagram,feed,820.657579,42012,158,121,2
6516362899483,"Jul 21, 2023",ACC1,instagram,instagram_explore,36.072421,4034,9,5,5
6516366549483,"jul 21, 2023",ACC1,instagram,feed,818.792622,42038,148,101,
6516366549483,"jul 21, 2023",ACC1,instagram,instagram_explore,37.257378,4317,7,7,
6516368068883,"jun 28, 2023",ACC1,instagram,feed,3.815933,484,2,2,
6516368068883,"jun 28, 2023",ACC1,instagram,instagram_explore,0.974067,334,3,3,
6516369453083,"jun 29, 2023",ACC1,instagram,feed,561.179909,55706,606,565,8
6516369453083,"jun 29, 2023",ACC1,instagram,instagram_explore,1.280091,585,1,1,
6516369637883,"jul 10, 2023",ACC1,instagram,feed,1581.743526,150625,2156,1879,53
6516369637883,"jul 10, 2023",ACC1,instagram,instagram_explore,390.126474,114150,578,456,15
6516369750083,"jul 17, 2023",ACC1,instagram,feed,22.492184,2037,27,24,1
6516369750083,"jul 17, 2023",ACC1,instagram,instagram_explore,2.757816,1314,5,3,
6516369851683,"jul 19, 2023",ACC1,instagram,feed,3.84,384,4,2,1
6516369851683,"jul 19, 2023",ACC1,instagram,instagram_explore,1.29,449,2,,
6516371430683,"jul 21, 2023",ACC1,instagram,feed,591.209728,43894,523,452,8
6516371430683,"jul 21, 2023",ACC1,instagram,instagram_explore,16.500272,3603,11,6,
6516372066883,"jul 26, 2023",ACC1,instagram,feed,443.014375,56197,538,412,13
6516372066883,"jul 26, 2023",ACC1,instagram,instagram_explore,126.115625,36664,153,100,
6516372324483,"aug 3, 2023",ACC1,instagram,feed,210.610969,23857,225,175,8
6516372324483,"aug 3, 2023",ACC1,instagram,instagram_explore,61.419031,16908,67,40,
6516372573883,"aug 7, 2023",ACC1,instagram,feed,616.677926,102890,724,536,19
6516372573883,"aug 7, 2023",ACC1,instagram,instagram_explore,494.692074,152927,662,456,5
6516372671883,"aug 8, 2023",ACC1,instagram,feed,8.44,604,11,9,
6516372671883,"aug 8, 2023",ACC1,instagram,instagram_explore,1.63,406,5,3,
6693840871883,post 1,ACC1,facebook,facebook_profile_feed,0.139958,12,0,,
6693840871883,post 1,ACC1,facebook,facebook_reels,1891.997243,398773,3004,,
6693840871883,post 1,ACC1,facebook,feed,132.870479,10781,109,5,
6693840871883,post 1,ACC1,facebook,marketplace,0,1,0,,
6693840871883,post 1,ACC1,facebook,search,0,3,0,,
6693840871883,post 1,ACC1,facebook,video_feeds,25.822319,9051,66,,
6693844246083,"post from Jan 23, 2025",ACC1,instagram,feed,24.510262,2077,64,66,
6693844246083,"post from Jan 23, 2025",ACC1,instagram,instagram_explore,1.270014,172,1,1,
6693844246083,"post from Jan 23, 2025",ACC1,instagram,instagram_explore_grid_home,0.670007,457,5,5,
6693844246083,"post from Jan 23, 2025",ACC1,instagram,instagram_profile_feed,0,1,0,,
6693844246083,"post from Jan 23, 2025",ACC1,instagram,instagram_profile_reels,0.100001,59,0,,
6693844246083,"post from Jan 23, 2025",ACC1,instagram,instagram_reels,65.120695,11807,150,151,
6693844246083,"post from Jan 23, 2025",ACC1,instagram,instagram_stories,2717.489021,237395,6550,6552,2
6693845023283,"post from Jan 21, 2025",ACC1,instagram,feed,17.269859,468,28,37,
6693845023283,"post from Jan 21, 2025",ACC1,instagram,instagram_explore,1.059378,24,1,1,
6693845023283,"post from Jan 21, 2025",ACC1,instagram,instagram_explore_grid_home,0.109935,28,0,,
6693845023283,"post from Jan 21, 2025",ACC1,instagram,instagram_profile_reels,0,9,0,,
6693845023283,"post from Jan 21, 2025",ACC1,instagram,instagram_reels,38.277523,5544,89,89,
6693845023283,"post from Jan 21, 2025",ACC1,instagram,instagram_stories,11.403304,553,17,21,
6693845175483,"post from Jan 20, 2025",ACC1,instagram,feed,105.310871,16290,249,262,
6693845175483,"post from Jan 20, 2025",ACC1,instagram,instagram_explore,5.509522,1274,9,10,
6693845175483,"post from Jan 20, 2025",ACC1,instagram,instagram_explore_grid_home,0.469959,157,1,1,
6693845175483,"post from Jan 20, 2025",ACC1,instagram,instagram_profile_feed,0.009999,9,0,,
6693845175483,"post from Jan 20, 2025",ACC1,instagram,instagram_profile_reels,0.259977,211,0,,
6693845175483,"post from Jan 20, 2025",ACC1,instagram,instagram_reels,43.60622,8381,83,87,
6693845175483,"post from Jan 20, 2025",ACC1,instagram,instagram_stories,2152.023451,284884,5123,5133,1
6693849201683,post 2,ACC1,facebook,facebook_profile_feed,0.04,3,0,,
6693849201683,post 2,ACC1,facebook,facebook_reels,11.62,1476,20,,
6693849201683,post 2,ACC1,facebook,feed,14.47,402,20,,
6693849201683,post 2,ACC1,facebook,video_feeds,0.1,13,0,,
6693849516883,post 3,ACC1,facebook,facebook_profile_feed,0.10999,15,0,,
6693849516883,post 3,ACC1,facebook,facebook_reels,154.715831,29712,207,,
6693849516883,post 3,ACC1,facebook,feed,163.645014,9887,126,3,
6693849516883,post 3,ACC1,facebook,marketplace,0.009999,1,0,,
6693849516883,post 3,ACC1,facebook,search,0,6,0,,
6693849516883,post 3,ACC1,facebook,video_feeds,9.109166,2898,12,,
6693857191083,post 4,ACC1,facebook,facebook_profile_feed,0.239878,15,0,,
6693857191083,post 4,ACC1,facebook,facebook_reels,283.815429,43760,425,,
6693857191083,post 4,ACC1,facebook,feed,196.230044,8678,212,13,
6693857191083,post 4,ACC1,facebook,marketplace,0,4,0,,
6693857191083,post 4,ACC1,facebook,search,0.01999,11,0,,
6693857191083,post 4,ACC1,facebook,video_feeds,10.484659,3519,24,,
6693857195883,post 5,ACC1,facebook,facebook_profile_feed,0.089986,8,0,,
6693857195883,post 5,ACC1,facebook,facebook_reels,1500.243496,287885,2572,,
6693857195883,post 5,ACC1,facebook,feed,112.732229,8383,99,4,
6693857195883,post 5,ACC1,facebook,search,0.009998,6,0,,
6693857195883,post 5,ACC1,facebook,video_feeds,163.084291,60400,418,,
6740131607283,post 2,ACC1,facebook,facebook_profile_feed,2.620615,99,2,,
6740131607283,post 2,ACC1,facebook,facebook_reels,1182.157474,200881,1125,3,
6740131607283,post 2,ACC1,facebook,feed,898.930995,176089,281,23,
6740131607283,post 2,ACC1,facebook,marketplace,0.230054,64,0,,
6740131607283,post 2,ACC1,facebook,search,0.240056,63,1,1,
6740131607283,post 2,ACC1,facebook,video_feeds,3.430805,401,6,,
6740131607883,post 4,ACC1,facebook,facebook_profile_feed,3.079477,165,1,,
6740131607883,post 4,ACC1,facebook,facebook_reels,1731.76574,285389,1823,1,
6740131607883,post 4,ACC1,facebook,feed,553.565939,122177,178,18,
6740131607883,post 4,ACC1,facebook,marketplace,0.179969,35,0,,
6740131607883,post 4,ACC1,facebook,search,0.199966,56,0,,
6740131607883,post 4,ACC1,facebook,video_feeds,6.418909,526,1,,
6740131608083,post 3,ACC1,facebook,facebook_profile_feed,1.370074,25,1,,
6740131608083,post 3,ACC1,facebook,facebook_reels,285.425518,45956,235,,
6740131608083,post 3,ACC1,facebook,feed,264.354372,51003,75,9,
6740131608083,post 3,ACC1,facebook,marketplace,0.090005,11,0,,
6740131608083,post 3,ACC1,facebook,search,0.100005,41,0,,
6740131608083,post 3,ACC1,facebook,video_feeds,0.470026,63,0,,
6740131608283,post 1,ACC1,facebook,facebook_profile_feed,1.260157,135,1,,
6740131608283,post 1,ACC1,facebook,facebook_reels,4546.137445,753710,5434,8,2
6740131608283,post 1,ACC1,facebook,feed,1199.049664,297825,378,33,
6740131608283,post 1,ACC1,facebook,marketplace,0.260032,76,0,,
6740131608283,post 1,ACC1,facebook,search,0.190024,65,0,,
6740131608283,post 1,ACC1,facebook,video_feeds,21.452678,2182,20,,
6740136118683,"post from Mar 25, 2025",ACC1,instagram,feed,0.26,17,0,,
6740136118683,"post from Mar 25, 2025",ACC1,instagram,instagram_explore,0,1,0,,
6740136118683,"post from Mar 25, 2025",ACC1,instagram,instagram_explore_grid_home,0,1,0,,
6740136118683,"post from Mar 25, 2025",ACC1,instagram,instagram_profile_reels,0,1,0,,
6740136118683,"post from Mar 25, 2025",ACC1,instagram,instagram_reels,0.41,57,1,1,
6740136118683,"post from Mar 25, 2025",ACC1,instagram,instagram_stories,0.37,38,0,,
6740138478683,"post from Mar 24, 2025",ACC1,instagram,feed,0.3,18,0,,
6740138478683,"post from Mar 24, 2025",ACC1,instagram,instagram_explore,0.02,1,0,,
6740138478683,"post from Mar 24, 2025",ACC1,instagram,instagram_reels,0.39,39,0,,
6740138478683,"post from Mar 24, 2025",ACC1,instagram,instagram_stories,3.49,391,8,8,
6740157934083,"post from Mar 21, 2025",ACC1,instagram,feed,14.1,1981,33,33,
6740157934083,"post from Mar 21, 2025",ACC1,instagram,instagram_explore,1,243,1,1,
6740157934083,"post from Mar 21, 2025",ACC1,instagram,instagram_explore_grid_home,0.06,17,0,,
6740157934083,"post from Mar 21, 2025",ACC1,instagram,instagram_profile_reels,0.04,30,0,,
6740157934083,"post from Mar 21, 2025",ACC1,instagram,instagram_reels,6.92,1420,13,13,
6740157934083,"post from Mar 21, 2025",ACC1,instagram,instagram_stories,7.89,1341,20,20,
6779621530683,"post from Mar 19, 2025",ACC1,instagram,feed,42.028907,2482,86,106,
6779621530683,"post from Mar 19, 2025",ACC1,instagram,instagram_explore,4.249889,229,10,10,
6779621530683,"post from Mar 19, 2025",ACC1,instagram,instagram_explore_grid_home,0.179995,104,0,,
6779621530683,"post from Mar 19, 2025",ACC1,instagram,instagram_reels,656.862919,102108,1535,1575,
6779621530683,"post from Mar 19, 2025",ACC1,instagram,instagram_stories,3142.208289,369835,7622,7727,
6779621530883,"post from Mar 20, 2025",ACC1,instagram,feed,89.506422,7901,178,199,1
6779621530883,"post from Mar 20, 2025",ACC1,instagram,instagram_explore,6.710481,765,13,13,
6779621530883,"post from Mar 20, 2025",ACC1,instagram,instagram_explore_grid_home,0.750054,363,0,,
6779621530883,"post from Mar 20, 2025",ACC1,instagram,instagram_profile_reels,0.130009,30,0,,
6779621530883,"post from Mar 20, 2025",ACC1,instagram,instagram_reels,1757.176068,363198,4192,4250,2
6779621530883,"post from Mar 20, 2025",ACC1,instagram,instagram_stories,6508.726966,308178,15311,15393,2
6935452415083,post 5 - 28.08,ACC1,facebook,facebook_profile_feed,0.04997,3,0,,
6935452415083,post 5 - 28.08,ACC1,facebook,facebook_reels,2043.565849,416142,4289,5,
6935452415083,post 5 - 28.08,ACC1,facebook,feed,9.5943,768,12,,
120206400638290151,window_2_dec_21,ACC2,audience_network,an_classic,14.904144,1444,13,13,9
120206400638290151,window_2_dec_21,ACC2,facebook,facebook_reels,78.579128,7422,15,7,4
120206400638290151,window_2_dec_21,ACC2,facebook,facebook_reels_overlay,1.589376,283,1,1,1
120206400638290151,window_2_dec_21,ACC2,facebook,facebook_stories,66.773766,2368,20,20,7
120206400638290151,window_2_dec_21,ACC2,facebook,feed,3334.170068,200187,1846,613,423
120206400638290151,window_2_dec_21,ACC2,facebook,instream_video,20.302024,2798,9,9,5
120206400638290151,window_2_dec_21,ACC2,facebook,marketplace,219.783651,34037,69,67,43
120206400638290151,window_2_dec_21,ACC2,facebook,right_hand_column,0.579772,546,0,,
120206400638290151,window_2_dec_21,ACC2,facebook,search,71.571881,4179,24,16,10
120206400638290151,window_2_dec_21,ACC2,facebook,video_feeds,90.014635,6532,52,27,20
120206400638290151,window_2_dec_21,ACC2,instagram,feed,911.221998,40621,118,66,48
120206400638290151,window_2_dec_21,ACC2,instagram,instagram_explore,20.631894,3310,3,1,1
120206400638290151,window_2_dec_21,ACC2,instagram,instagram_explore_grid_home,7.467066,1404,2,,
120206400638290151,window_2_dec_21,ACC2,instagram,instagram_profile_feed,3.898468,648,0,,
120206400638290151,window_2_dec_21,ACC2,instagram,instagram_reels,30.927849,2094,1,,
120206400638290151,window_2_dec_21,ACC2,instagram,instagram_reels_overlay,0.55978,356,0,,
120206400638290151,window_2_dec_21,ACC2,instagram,instagram_search,0.109957,19,1,,
120206400638290151,window_2_dec_21,ACC2,instagram,instagram_stories,217.424578,15598,55,45,15
120206400638290151,window_2_dec_21,ACC2,messenger,messenger_stories,0.089965,7,0,,
120206715522530151,before_after7_2_dec_25,ACC2,facebook,facebook_reels,7.713263,429,1,,
120206715522530151,before_after7_2_dec_25,ACC2,facebook,facebook_reels_overlay,0.109904,17,0,,
120206715522530151,before_after7_2_dec_25,ACC2,facebook,facebook_stories,12.62897,406,2,2,
120206715522530151,before_after7_2_dec_25,ACC2,facebook,feed,155.983765,5456,74,29,
120206715522530151,before_after7_2_dec_25,ACC2,facebook,instream_video,0.009991,1,0,,
120206715522530151,before_after7_2_dec_25,ACC2,facebook,marketplace,3.956544,244,3,1,
120206715522530151,before_after7_2_dec_25,ACC2,facebook,search,1.248909,113,0,,
120206715522530151,before_after7_2_dec_25,ACC2,facebook,video_feeds,1.538656,66,0,,
120206715522530151,before_after7_2_dec_25,ACC2,instagram,feed,30.863044,1067,4,2,
120206715522530151,before_after7_2_dec_25,ACC2,instagram,instagram_explore,0.309729,17,0,,
120206715522530151,before_after7_2_dec_25,ACC2,instagram,instagram_explore_grid_home,0.059948,28,0,,
120206715522530151,before_after7_2_dec_25,ACC2,instagram,instagram_reels,7.313612,432,3,1,
120206715522530151,before_after7_2_dec_25,ACC2,instagram,instagram_stories,75.953663,4365,25,22,
120206735801580151,before_after7_4_dec_26,ACC2,facebook,facebook_reels,5.94,426,2,,
120206735801580151,before_after7_4_dec_26,ACC2,facebook,facebook_reels_overlay,0.03,6,0,,
120206735801580151,before_after7_4_dec_26,ACC2,facebook,facebook_stories,1.31,45,0,,
120206735801580151,before_after7_4_dec_26,ACC2,facebook,feed,45.79,1918,19,5,
120206735801580151,before_after7_4_dec_26,ACC2,facebook,instream_video,0.02,1,0,,
120206735801580151,before_after7_4_dec_26,ACC2,facebook,marketplace,0.91,79,0,,
120206735801580151,before_after7_4_dec_26,ACC2,facebook,search,0.36,37,0,,
120206735801580151,before_after7_4_dec_26,ACC2,facebook,video_feeds,0.08,9,0,,
120206735801580151,before_after7_4_dec_26,ACC2,instagram,feed,12.35,573,0,,
120206735801580151,before_after7_4_dec_26,ACC2,instagram,instagram_explore,0.1,13,0,,
120206735801580151,before_after7_4_dec_26,ACC2,instagram,instagram_explore_grid_home,0.02,10,0,,
120206735801580151,before_after7_4_dec_26,ACC2,instagram,instagram_reels,1.2,153,0,,
120206735801580151,before_after7_4_dec_26,ACC2,instagram,instagram_stories,3.32,208,0,,
120206885591780151,before_after7_3_dec_28,ACC2,facebook,facebook_reels,27.587288,1381,9,5,
120206885591780151,before_after7_3_dec_28,ACC2,facebook,facebook_reels_overlay,0.169983,14,0,,
120206885591780151,before_after7_3_dec_28,ACC2,facebook,facebook_stories,24.807561,954,11,10,
120206885591780151,before_after7_3_dec_28,ACC2,facebook,feed,130.687152,3942,34,15,
120206885591780151,before_after7_3_dec_28,ACC2,facebook,instream_video,0.019998,1,0,,
120206885591780151,before_after7_3_dec_28,ACC2,facebook,marketplace,4.099597,272,2,1,
120206885591780151,before_after7_3_dec_28,ACC2,facebook,search,2.569747,197,1,1,
120206885591780151,before_after7_3_dec_28,ACC2,facebook,video_feeds,0.299971,18,0,,
120206885591780151,before_after7_3_dec_28,ACC2,instagram,feed,46.495429,1816,5,3,
120206885591780151,before_after7_3_dec_28,ACC2,instagram,instagram_explore,0.529948,36,0,,
120206885591780151,before_after7_3_dec_28,ACC2,instagram,instagram_explore_grid_home,0.139986,25,0,,
120206885591780151,before_after7_3_dec_28,ACC2,instagram,instagram_reels,7.159296,474,0,,
120206885591780151,before_after7_3_dec_28,ACC2,instagram,instagram_stories,60.594043,2904,13,10,
120206960087450151,before_after_vid1_1_dec_29,ACC2,audience_network,an_classic,10.386513,734,17,17,11
120206960087450151,before_after_vid1_1_dec_29,ACC2,audience_network,rewarded_video,9.046963,616,6,6,3
120206960087450151,before_after_vid1_1_dec_29,ACC2,facebook,facebook_reels,210.409366,21132,76,40,23
120206960087450151,before_after_vid1_1_dec_29,ACC2,facebook,facebook_reels_overlay,4.298557,498,2,1,1
120206960087450151,before_after_vid1_1_dec_29,ACC2,facebook,facebook_stories,137.253924,6351,56,53,22
120206960087450151,before_after_vid1_1_dec_29,ACC2,facebook,feed,2281.514105,153937,1974,904,727
120206960087450151,before_after_vid1_1_dec_29,ACC2,facebook,instream_video,25.421466,2489,8,8,5
120206960087450151,before_after_vid1_1_dec_29,ACC2,facebook,marketplace,189.376427,25786,69,60,42
120206960087450151,before_after_vid1_1_dec_29,ACC2,facebook,search,22.152563,1574,6,4,2
120206960087450151,before_after_vid1_1_dec_29,ACC2,facebook,video_feeds,74.964835,8175,43,28,17
120206960087450151,before_after_vid1_1_dec_29,ACC2,instagram,feed,1054.066154,49639,258,197,154
120206960087450151,before_after_vid1_1_dec_29,ACC2,instagram,instagram_explore,12.615765,2192,4,3,3
120206960087450151,before_after_vid1_1_dec_29,ACC2,instagram,instagram_explore_grid_home,3.398859,690,0,,
120206960087450151,before_after_vid1_1_dec_29,ACC2,instagram,instagram_profile_feed,4.578463,546,3,2,2
120206960087450151,before_after_vid1_1_dec_29,ACC2,instagram,instagram_reels,132.855401,8759,30,25,25
120206960087450151,before_after_vid1_1_dec_29,ACC2,instagram,instagram_search,0.11996,14,0,,
120206960087450151,before_after_vid1_1_dec_29,ACC2,instagram,instagram_stories,474.580685,29954,179,168,114
120206960087450151,before_after_vid1_1_dec_29,ACC2,messenger,messenger_stories,0.019993,3,0,,
120206961248040151,before_after_vid1_2_dec_29,ACC2,audience_network,an_classic,34.241899,2668,45,45,18
120206961248040151,before_after_vid1_2_dec_29,ACC2,audience_network,rewarded_video,18.355657,1176,19,20,4
120206961248040151,before_after_vid1_2_dec_29,ACC2,facebook,facebook_reels,200.132651,24126,84,32,29
120206961248040151,before_after_vid1_2_dec_29,ACC2,facebook,facebook_reels_overlay,5.458709,613,4,2,1
120206961248040151,before_after_vid1_2_dec_29,ACC2,facebook,facebook_stories,138.317276,8077,55,51,26
120206961248040151,before_after_vid1_2_dec_29,ACC2,facebook,feed,3932.539617,271251,2919,1256,1042
120206961248040151,before_after_vid1_2_dec_29,ACC2,facebook,instream_video,26.813656,3450,11,11,3
120206961248040151,before_after_vid1_2_dec_29,ACC2,facebook,marketplace,251.470506,37283,92,84,56
120206961248040151,before_after_vid1_2_dec_29,ACC2,facebook,search,14.046677,1305,10,9,4
120206961248040151,before_after_vid1_2_dec_29,ACC2,facebook,video_feeds,114.073012,13798,83,53,41
120206961248040151,before_after_vid1_2_dec_29,ACC2,instagram,feed,1408.726715,70013,303,232,156
120206961248040151,before_after_vid1_2_dec_29,ACC2,instagram,instagram_explore,23.644406,4907,6,4,3
120206961248040151,before_after_vid1_2_dec_29,ACC2,instagram,instagram_explore_grid_home,4.728881,1297,3,1,1
120206961248040151,before_after_vid1_2_dec_29,ACC2,instagram,instagram_profile_feed,8.857904,1381,2,1,2
120206961248040151,before_after_vid1_2_dec_29,ACC2,instagram,instagram_reels,132.63862,11336,33,26,15
120206961248040151,before_after_vid1_2_dec_29,ACC2,instagram,instagram_search,0.149965,39,1,,
120206961248040151,before_after_vid1_2_dec_29,ACC2,instagram,instagram_stories,406.36386,32320,129,122,72
120206961248040151,before_after_vid1_2_dec_29,ACC2,messenger,messenger_stories,0.049988,4,0,,
120207133348050151,before_after_vid1_1_jan_3,ACC2,facebook,facebook_reels,42.959375,3443,10,1,
120207133348050151,before_after_vid1_1_jan_3,ACC2,facebook,facebook_reels_overlay,0.109973,8,0,,
120207133348050151,before_after_vid1_1_jan_3,ACC2,facebook,facebook_stories,41.719682,2069,12,10,
120207133348050151,before_after_vid1_1_jan_3,ACC2,facebook,feed,117.830857,3801,51,24,
120207133348050151,before_after_vid1_1_jan_3,ACC2,facebook,instream_video,0.629844,38,0,,
120207133348050151,before_after_vid1_1_jan_3,ACC2,facebook,marketplace,1.279684,65,3,2,
120207133348050151,before_after_vid1_1_jan_3,ACC2,facebook,search,0.649839,36,0,,
120207133348050151,before_after_vid1_1_jan_3,ACC2,facebook,video_feeds,0.92977,39,0,,
120207133348050151,before_after_vid1_1_jan_3,ACC2,instagram,feed,73.611794,2398,10,9,
120207133348050151,before_after_vid1_1_jan_3,ACC2,instagram,instagram_explore,0.099975,22,0,,
120207133348050151,before_after_vid1_1_jan_3,ACC2,instagram,instagram_reels,21.774615,1125,2,1,
120207133348050151,before_after_vid1_1_jan_3,ACC2,instagram,instagram_stories,62.294593,2544,17,15,
120207435927850151,before_after_vid1_2_jan_8,ACC2,facebook,facebook_reels,150.840978,12999,53,19,
120207435927850151,before_after_vid1_2_jan_8,ACC2,facebook,facebook_reels_overlay,0.729956,58,1,1,
120207435927850151,before_after_vid1_2_jan_8,ACC2,facebook,facebook_stories,72.315675,3260,20,17,
120207435927850151,before_after_vid1_2_jan_8,ACC2,facebook,feed,598.034233,17924,220,105,
120207435927850151,before_after_vid1_2_jan_8,ACC2,facebook,instream_video,0.979941,122,0,,
120207435927850151,before_after_vid1_2_jan_8,ACC2,facebook,marketplace,2.33986,196,2,2,
120207435927850151,before_after_vid1_2_jan_8,ACC2,facebook,search,3.869769,248,0,,
120207435927850151,before_after_vid1_2_jan_8,ACC2,facebook,video_feeds,1.949883,122,1,,
120207435927850151,before_after_vid1_2_jan_8,ACC2,instagram,feed,202.107912,5782,17,12,
120207435927850151,before_after_vid1_2_jan_8,ACC2,instagram,instagram_explore,1.489911,129,0,,
120207435927850151,before_after_vid1_2_jan_8,ACC2,instagram,instagram_reels,41.887495,2597,6,3,
120207435927850151,before_after_vid1_2_jan_8,ACC2,instagram,instagram_stories,93.864386,4750,26,23,
120207736470930151,before_after_vid1_3_jan_13,ACC2,facebook,facebook_reels,97.423885,7532,22,9,
